year;position;team;games;victories;draws;losses;goals_scored;goals_against;goals_difference;points
2021;1;Atlético Mineiro;38;26;6;6;67;34;+33;84
2021;2;Flamengo;38;21;8;9;69;36;+33;71
2021;3;Palmeiras;38;20;6;12;58;43;+15;66
2021;4;Fortaleza;38;17;7;14;44;45;-1;58
2021;5;Corinthians;38;15;12;11;40;36;+4;57
2021;6;Red Bull Bragantino;38;14;14;10;55;46;+9;56
2021;7;Fluminense;38;15;9;14;38;38;0;54
2021;8;América Mineiro;38;13;14;11;41;37;+4;53
2021;9;Atlético Goianiense;38;13;14;11;33;36;-3;53
2021;10;Santos;38;12;14;12;35;40;-5;50
2021;11;Ceará;38;11;17;10;39;38;+1;50
2021;12;Internacional;38;12;12;14;44;42;+2;48
2021;13;São Paulo;38;11;15;12;31;39;-8;48
2021;14;Athletico Paranaense;38;13;8;17;41;45;-4;47
2021;15;Cuiabá;38;10;17;11;34;37;-3;47
2021;16;Juventude;38;11;13;14;36;44;-8;46
2021;17;Grêmio;38;12;7;19;44;51;-7;43
2021;18;Bahia;38;11;10;17;42;51;-9;43
2021;19;Sport;38;9;11;18;24;37;-13;38
2021;20;Chapecoense;38;1;12;25;27;67;-40;15
2022;1;Palmeiras;38;23;12;3;66;27;+39;81
2022;2;Internacional;38;20;13;5;58;31;+27;73
2022;3;Fluminense;38;21;7;10;63;41;+22;70
2022;4;Corinthians;38;18;11;9;44;36;+8;65
2022;5;Flamengo;38;18;8;12;60;39;+21;62
2022;6;Athletico Paranaense;38;16;10;12;48;48;0;58
2022;7;Atlético Mineiro;38;15;13;10;45;37;+8;58
2022;8;Fortaleza;38;15;10;13;46;39;+7;55
2022;9;São Paulo;38;13;15;10;55;42;+13;54
2022;10;América Mineiro;38;15;8;15;40;40;0;53
2022;11;Botafogo;38;15;8;15;41;43;-2;53
2022;12;Santos;38;12;11;15;44;41;+3;47
2022;13;Goiás;38;11;13;14;40;53;-13;46
2022;14;Red Bull Bragantino;38;11;11;16;49;59;-10;44
2022;15;Coritiba;38;12;6;20;39;60;-21;42;
2022;16;Cuiabá;38;10;11;17;31;42;-11;41
2022;17;Ceará;38;7;16;15;34;41;-7;37
2022;18;Atlético Goianiense;38;8;12;18;39;57;-18;36
2022;19;Avaí;38;9;8;21;34;60;-26;35
2022;20;Juventude;38;3;13;22;29;69;-40;22
2023;1;Palmeiras;38;20;10;8;64;33;+31;70
2023;2;Grêmio;38;21;5;12;63;56;+7;68
2023;3;Atlético Mineiro;38;19;9;10;52;32;+20;66
2023;4;Flamengo;38;19;9;10;56;42;+14;66
2023;5;Botafogo;38;18;10;10;58;37;+21;64
2023;6;Red Bull Bragantino;38;17;11;10;49;35;+14;62
2023;7;Fluminense;38;16;8;14;51;47;+4;56
2023;8;Athletico Paranaense;38;14;14;10;51;43;+8;56
2023;9;Internacional;38;15;10;13;46;45;+1;55
2023;10;Fortaleza;38;15;9;14;45;44;+1;54
2023;11;São Paulo;38;14;11;13;40;38;+2;53
2023;12;Cuiabá;38;14;9;15;40;39;+1;51
2023;13;Corinthians;38;12;14;12;47;48;-1;50
2023;14;Cruzeiro;38;11;14;13;35;32;+3;47
2023;15;Vasco da Gama;38;12;9;17;41;51;-10;45
2023;16;Bahia;38;12;8;18;50;53;-3;44
2023;17;Santos;38;11;10;17;39;64;-25;43
2023;18;Goiás;38;9;11;18;36;53;-17;38
2023;19;Coritiba;38;8;6;24;41;73;-32;30
2023;20;América Mineiro;38;5;9;24;42;81;-39;24
